tahun,propinsi,nama_bandara,kota,tipe_penerbangan,pesawat_datang,pesawat_berangkat,penumpang_datang,penumpang_berangkat,penumpang_total,penumpang_transit,barang_total_kg,bagasi_total_kg
2023,PROPINSI DAERAH ISTIMEWA ACEH,TEUKU CUT ALI,TAPAK TUAN,DOMESTIK,49.0,49.0,111.0,198.0,309.0,0.0,0.0,1726.0
2024,PROPINSI DAERAH ISTIMEWA ACEH,TEUKU CUT ALI,TAPAK TUAN,DOMESTIK,89.0,89.0,236.0,373.0,609.0,0.0,64.0,1826.0
2020,PROPINSI DAERAH ISTIMEWA ACEH,REMBELE,TAKENGON,DOMESTIK,92.0,92.0,2565.0,2782.0,5347.0,349.0,0.0,13001.0
2021,PROPINSI DAERAH ISTIMEWA ACEH,REMBELE,TAKENGON,DOMESTIK,70.0,70.0,478.0,972.0,1.0,0.0,9132.0,4.0
2022,PROPINSI DAERAH ISTIMEWA ACEH,REMBELE,TAKENGON,DOMESTIK,139.0,139.0,3169.0,3042.0,6211.0,1423.0,0.0,36329.0
2023,PROPINSI DAERAH ISTIMEWA ACEH,REMBELE,TAKENGON,DOMESTIK,6.0,6.0,98.0,122.0,220.0,0.0,1.0,0.0
2024,PROPINSI DAERAH ISTIMEWA ACEH,REMBELE,TAKENGON,DOMESTIK,83.0,83.0,201.0,394.0,595.0,0.0,0.0,859.0
2020,PROPINSI DAERAH ISTIMEWA ACEH,SYEKH HAMZAH FANSURY,SINGKIL,DOMESTIK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,PROPINSI DAERAH ISTIMEWA ACEH,SYEKH HAMZAH FANSURY,SINGKIL,DOMESTIK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,PROPINSI DAERAH ISTIMEWA ACEH,SYEKH HAMZAH FANSURY,SINGKIL,DOMESTIK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,PROPINSI DAERAH ISTIMEWA ACEH,SYEKH HAMZAH FANSURY,SINGKIL,DOMESTIK,1.0,1.0,9.0,0.0,9.0,0.0,10.0,86.0
2024,PROPINSI DAERAH ISTIMEWA ACEH,SYEKH HAMZAH FANSURY,SINGKIL,DOMESTIK,85.0,85.0,446.0,595.0,1041.0,0.0,1.0,5157.0
2020,PROPINSI DAERAH ISTIMEWA ACEH,ALASLAUSER,KUTACANE,DOMESTIK,44.0,45.0,175.0,254.0,429.0,0.0,0.0,2977.0
2021,PROPINSI DAERAH ISTIMEWA ACEH,ALASLAUSER,KUTACANE,DOMESTIK,52.0,52.0,294.0,396.0,690.0,0.0,0.0,4296.0
2022,PROPINSI DAERAH ISTIMEWA ACEH,ALASLAUSER,KUTACANE,DOMESTIK,109.0,109.0,848.0,1064.0,1912.0,0.0,0.0,11958.0
2023,PROPINSI DAERAH ISTIMEWA ACEH,ALASLAUSER,KUTACANE,DOMESTIK,105.0,104.0,892.0,1095.0,1987.0,0.0,13.0,14378.0
2024,PROPINSI DAERAH ISTIMEWA ACEH,ALASLAUSER,KUTACANE,DOMESTIK,88.0,88.0,792.0,986.0,1778.0,0.0,0.0,6275.0
2020,PROPINSI DAERAH ISTIMEWA ACEH,KUALA BATU,BLANG PIDIE,DOMESTIK,45.0,45.0,66.0,91.0,157.0,0.0,1787.0,0.0
2021,PROPINSI DAERAH ISTIMEWA ACEH,KUALA BATU,BLANG PIDIE,DOMESTIK,52.0,52.0,73.0,137.0,210.0,0.0,0.0,1179.0
2022,PROPINSI DAERAH ISTIMEWA ACEH,KUALA BATU,BLANG PIDIE,DOMESTIK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,PROPINSI DAERAH ISTIMEWA ACEH,KUALA BATU,BLANG PIDIE,DOMESTIK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
